N,time,number of swaps
100,27,426
500,502,4183
1000,1917,15901
2000,7520,64263
3000,16828,123370
4000,29916,202332
5000,46536,318534
6000,67221,442907
7000,91106,607625
8000,121333,822616
10000,185354,1121236
15000,432092,2427393
20000,757484,4268931
25000,1.22567e+06,6534490
40000,2.99813e+06,16457779
60000,6.82777e+06,37465027
80000,1.19472e+07,66035747
100000,1.87428e+07,102664754
