N,time,number of swaps
100,25,584
500,637,11174
1000,2042,40715
2000,8118,168351
3000,18052,324587
4000,34162,662602
5000,68386,884268
10000,218546,3689704
15000,461626,7542882
20000,889351,15864965
25000,1.3121e+06,20710734
50000,5.36894e+06,92042435
75000,1.17277e+07,180921859
100000,2.1596e+07,386620533
